company_name,contact,title,website
2C Tech,Ramgopal Rao,CEO,Website http://2ctechcorp.com/
2Morrow,Brandon Masterson,Founder & CEO,Website http://www.2morrowinc.com/
AblaCare,Marion Gasperment,COO,Website https://www.ablacare.com/ LinkedIn https://www.linkedin.com/in/marion-gasperment-9ba714a1/
Abreos Biosciences,Bradley Messmer,"Founder, CEO",Website http://www.abreos.com
Adhesys Medical,Alexander Schueller,President,Website http://www.adhesys-medical.com/ Twitter https://twitter.com/AdhesysMedical
Adient Medical,Mitchell Eggers,CEO,Website http://adientmedical.com LinkedIn https://www.linkedin.com/in/mitcheggers
Admetsys,Glenn Robertelli,COO,Website http://www.admetsys.com
Alleviant Medical,Avni Patel,COO,Website http://alleviantmedical.com Twitter https://twitter.com/alleviant LinkedIn https://www.linkedin.com/company-beta/11047134/
Allotrope Medical,Albert Huang,Founder & CEO,Website http://www.allotropemed.com
Altratech,Tara Dalton,CEO,Website http://www.altratech.com
AMB Surgical,Dan Sands,CEO,Website https://ambsurgical.com/
American BioOptics,Eric Benson,CEO,Website http://abo.health
AMP3D,Kevin Passarello,President and CEO,
Aperture Biomedical,Elisabeth Wynne,Co-Founder,
ApiFix,Paul Mraz,CEO,Website http://apifix.com/
Arterys,Carla Leibowitz,Head of Marketing,Website https://arterys.com/
AtaCor Medical,Rick Sanghera,CEO,Website http://www.atacor.com LinkedIn https://linkedin.com/in/rick-sanghera-9081912
ATRO Medical,Jan Hunik,CEO,Website http://atromedical.com
Auctus Surgical,John Barrett,CEO,Website https://www.intuitive-x.com/auctus-surgical
Augmedics,Nissan Elimelech,Co-Founder & CEO,Website http://www.augmedics.com Twitter https://twitter.com/augmedics LinkedIn https://www.linkedin.com/company/augmedics
"AUM Cardiovascular, Inc.",Marie Johnson,CEO,Website http://aumcardio.com/
AuriGen Medical,John Thompson,Co-Founder & CEO,Website http://www.aurigenmedical.com LinkedIn https://www.linkedin.com/in/dr-john-thompson-md-mba-8773511b/
Avelas Biosciences,Kyri Van Hoose,Head of Finance,Website https://www.avelasbio.com/
Avenda,Shyam Natarajan,President,Website http://www.avendahealth.com
AventaMed Ltd.,Olive O'Driscoll,CEO,Website http://www.aventamed.com
Avisi Technologies,Rui Jing Jiang,Co Founder & CEO,Website http://www.avisitech.com
AxioSonic,Vivek Ramakrishnan,President,Website http://www.axiosonic.com LinkedIn https://www.linkedin.com/in/ramakrishnanvivek/
Bardy Diagnostics,Jonathan Wu,Director of Marketing,Website https://www.bardydx.com/
"BeckerSmith Medical, Inc.",Jan Eckermann,CEO,Website http://www.beckersmithmedical.com
Bigfoot Biomedical,Jeffrey Brewer,President & CEO,Website https://www.bigfootbiomedical.com/
Bionic Vision Australia,Dr. Julia Hill,,Website http://bionicvision.org.au/
Bloomlife,Eric Dy,Co-Founder & CEO,Website http://www.bloom.life Twitter https://twitter.com/bloom_life
Bone Health Technologies,Nikhil Viswanathan,Head of Product Development,Website http://www.bonehealthtech.com/
BrainStem Biometrics,Mike Baltay,CEO,Website http://www.brainstembiometrics.com
Briteseed,Jonathan Gunn,CEO and Co-founder,Website http://www.briteseed.com
C-SATS,Derek Streat,Co-Founder & CEO,Website http://www.csats.com Twitter https://twitter.com/CSATSinc LinkedIn https://www.linkedin.com/company/c-sats-inc
Catalia Health,Cory Kidd,Founder & CEO,Website http://www.cataliahealth.com Twitter https://twitter.com/cataliahealth LinkedIn https://www.linkedin.com/company/catalia-health
CathWorks,James,Corbett,Website http://cath.works/ LinkedIn www.linkedin.com/in/james-corbett-6917338
CereScan,Shane Quint,CTO,Website https://cerescan.com
ChemoFilter,"Anand S. Patel, MD",CEO,
